"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Gm42418",1.27729136415563e-167,-0.950024103625607,0.997,0.998,3.19923167980062e-163,"Gm42418","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Down"
"Tuba1a",2.28344174078657e-102,-1.82735052284722,0.871,0.904,5.71933652814813e-98,"Tuba1a","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Down"
"AY036118",1.1555306058303e-90,-1.11726449839072,0.932,0.933,2.89425750842316e-86,"AY036118","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Down"
"Tubb2a",1.2999239252034e-59,-1.67082953251856,0.648,0.741,3.25591945545697e-55,"Tubb2a","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Down"
"Actb",2.5664612506998e-57,-1.68289181505393,0.644,0.742,6.42821549462779e-53,"Actb","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Down"
"Ubb",3.58253664288332e-57,-2.68175873151195,0.191,0.479,8.97317952942986e-53,"Ubb","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Down"
"Tubb2b",1.22944749060506e-52,-1.94924744818795,0.544,0.675,3.0793971297185e-48,"Tubb2b","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Down"
"Actg1",7.53247227848098e-52,-1.76734248222931,0.493,0.654,1.88665833159113e-47,"Actg1","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Down"
"9530059O14Rik",6.30372972471231e-50,0.86250734945589,0.888,0.549,1.57889518414869e-45,"9530059O14Rik","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Gm4258",7.73962107983794e-48,0.885089944506583,0.866,0.5,1.93854289186701e-43,"Gm4258","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Tubb5",3.37956556877069e-45,-1.5775494653407,0.607,0.694,8.46479788009994e-41,"Tubb5","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Down"
"Gapdh",1.37266582067813e-44,-2.36754585476124,0.228,0.47,3.4381160810525e-40,"Gapdh","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Down"
"Gm47283",1.51536342480833e-43,-1.60601217806574,0.646,0.711,3.79553077011741e-39,"Gm47283","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Down"
"Frmd4a",3.65208411351144e-41,0.452679020629692,0.997,0.94,9.1473750791121e-37,"Frmd4a","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Hsp90aa1",6.04516542207186e-40,-1.63582792091706,0.442,0.598,1.51413258326634e-35,"Hsp90aa1","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Down"
"Atp1b1",1.5913640931673e-39,-0.869921232576436,0.894,0.875,3.98588964415612e-35,"Atp1b1","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Down"
"Hspa8",2.55201224503892e-39,-1.42439251833707,0.565,0.671,6.39202507014898e-35,"Hspa8","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Down"
"mt-Co3",5.10345332505314e-39,-1.22742560139273,0.6,0.713,1.27826195432606e-34,"mt-Co3","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Down"
"Ppia",4.99609845433193e-38,-1.58007119736039,0.535,0.634,1.25137277985652e-33,"Ppia","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Down"
"Msra",6.76420666849663e-38,0.605039447021148,0.996,0.964,1.69423084425835e-33,"Msra","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Mpp6",1.10117991091693e-35,0.706162429565117,0.848,0.478,2.75812532287363e-31,"Mpp6","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Upp2",4.61397123764124e-35,0.818504875962943,0.612,0.255,1.155661375892e-30,"Upp2","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Syndig1",3.0049702840836e-34,0.935279924021745,0.603,0.272,7.5265490705442e-30,"Syndig1","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Trpc5",1.99184773445781e-33,0.754383663301839,0.8,0.5,4.98898102049647e-29,"Trpc5","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Apba1",1.46914930068621e-31,0.567391696248038,0.896,0.59,3.67977825342875e-27,"Apba1","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Hsp90ab1",2.31434071783865e-31,-1.35707897105099,0.574,0.636,5.79672919597048e-27,"Hsp90ab1","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Down"
"Slit3",1.12039737103293e-30,0.379665539985432,0.997,0.961,2.80625929522618e-26,"Slit3","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Sema3c",1.20499506955395e-30,0.609618349096229,0.509,0.194,3.01815115071178e-26,"Sema3c","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Pabpc1",1.30467191251177e-30,0.746446276455539,0.641,0.292,3.26781173926822e-26,"Pabpc1","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Slc16a7",2.9824037882687e-30,0.610861513308251,0.745,0.37,7.47002676847662e-26,"Slc16a7","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Galnt18",1.5362948514458e-29,0.592330130300355,0.873,0.6,3.84795771441628e-25,"Galnt18","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Lrch1",2.64174719567646e-29,0.63343753341348,0.786,0.422,6.61678420101083e-25,"Lrch1","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Flrt2",3.04322372300989e-28,0.731471618471344,0.717,0.435,7.62236245902287e-24,"Flrt2","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Arpp21",6.20956251293424e-28,0.339600001380682,0.997,0.952,1.55530912261464e-23,"Arpp21","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Gm44257",2.61244209736272e-27,1.09897097480193,0.43,0.171,6.54338372126442e-23,"Gm44257","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Dtna",4.09151200038039e-27,0.583528062556499,0.869,0.557,1.02480101073528e-22,"Dtna","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Ahi1",4.3801768397487e-27,0.374931458358743,0.992,0.902,1.09710289305186e-22,"Ahi1","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Lin7a",7.33734327254118e-27,0.755289079801162,0.568,0.27,1.83778436947339e-22,"Lin7a","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Dgkg",1.74532940737089e-26,0.521732071902276,0.894,0.585,4.37152656664188e-22,"Dgkg","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Dtnbp1",2.05287602932653e-26,0.650948574455285,0.574,0.256,5.14183859065415e-22,"Dtnbp1","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Ppp1r14c",2.39301407024182e-26,0.568618566660955,0.728,0.373,5.99378234173469e-22,"Ppp1r14c","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Ephb2",3.72794821492102e-26,0.614538942520562,0.547,0.238,9.33739189391269e-22,"Ephb2","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Gm16183",8.62672939766035e-26,0.907971307085677,0.373,0.132,2.16073691223199e-21,"Gm16183","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Osbpl10",1.22053562231984e-25,0.686118939871481,0.484,0.199,3.05707557322451e-21,"Osbpl10","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Xylt1",1.33907931589092e-25,0.553749209813867,0.856,0.562,3.35399196251198e-21,"Xylt1","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Gm16105",1.42209249322147e-25,0.762405057200846,0.434,0.165,3.56191506777183e-21,"Gm16105","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Adcy8",1.60597862987656e-25,0.729229792253457,0.524,0.238,4.02249467425182e-21,"Adcy8","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Kcnk10",2.97946101739326e-25,0.487415035941241,0.77,0.41,7.46265601026491e-21,"Kcnk10","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Gprin3",4.4913433057453e-25,0.917495914026496,0.379,0.139,1.12494675779002e-20,"Gprin3","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"9630014M24Rik",8.55903266134285e-25,0.772521612880623,0.434,0.174,2.14378091068654e-20,"9630014M24Rik","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Vgll4",1.03584677089092e-24,0.728951246985915,0.412,0.158,2.59448540705048e-20,"Vgll4","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Gm11906",1.04634450950239e-24,0.776877771980351,0.538,0.255,2.62077909295063e-20,"Gm11906","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"March4",1.08839176304357e-24,0.586910914911954,0.524,0.227,2.72609484889523e-20,"March4","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"D130040H23Rik",1.29851883558382e-24,0.907307706236147,0.333,0.111,3.25240012748679e-20,"D130040H23Rik","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Epc1",1.77611840522973e-24,0.565747124479413,0.697,0.36,4.44864376957891e-20,"Epc1","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Mylip",3.79717624551295e-24,0.689789855779976,0.48,0.203,9.5107873421363e-20,"Mylip","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"2310002F09Rik",4.55109660403452e-24,0.825775498234749,0.428,0.174,1.13991316641253e-19,"2310002F09Rik","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Meg3",6.92020957848573e-24,0.252716312551651,1,0.998,1.73330489312332e-19,"Meg3","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"mt-Co1",7.06534593630698e-24,-1.37226658098811,0.43,0.544,1.76965719666681e-19,"mt-Co1","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Down"
"Gm44151",7.12166074383916e-24,0.704498190290872,0.435,0.173,1.78376236650939e-19,"Gm44151","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Pantr1",7.55256993874723e-24,0.799744919075787,0.535,0.261,1.89169219255802e-19,"Pantr1","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Gm26936",1.02475129786564e-23,0.917409458097031,0.317,0.104,2.56669457576406e-19,"Gm26936","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Pakap",1.05430885292529e-23,0.530329852821179,0.783,0.48,2.64072738392197e-19,"Pakap","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Palmd",1.07538465761402e-23,0.845261769706993,0.361,0.129,2.69351595192584e-19,"Palmd","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Gsdme",2.1927500411525e-23,0.601819227472694,0.452,0.187,5.49218102807466e-19,"Gsdme","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Fam78b",2.53555890698027e-23,0.680809396276597,0.43,0.173,6.35081439431348e-19,"Fam78b","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Ptprr",2.9413889797938e-23,0.575178951132446,0.627,0.325,7.36729697768954e-19,"Ptprr","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Elovl6",4.51404154232663e-23,0.440467872007208,0.623,0.305,1.13063198510655e-18,"Elovl6","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Lekr1",4.85374818946641e-23,0.707188300365375,0.523,0.242,1.21571830901565e-18,"Lekr1","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Slc8a3",5.51580663712919e-23,0.980807275281897,0.315,0.109,1.38154408840175e-18,"Slc8a3","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Gria1",6.14553317251718e-23,0.304111627620406,0.994,0.977,1.53927169372038e-18,"Gria1","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"2610037D02Rik",8.15937195312487e-23,0.932067526121703,0.325,0.111,2.04367789309919e-18,"2610037D02Rik","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Dleu2",1.1389502551895e-22,0.725723004385453,0.461,0.204,2.85272870417314e-18,"Dleu2","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Gm16083",2.87139663073827e-22,0.532747765381126,0.615,0.306,7.19198714101014e-18,"Gm16083","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Wwc1",2.90059381445991e-22,0.535840447941719,0.591,0.285,7.26511732707775e-18,"Wwc1","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Bcl9",3.62182059272898e-22,0.53970170586925,0.594,0.289,9.07157403860827e-18,"Bcl9","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Ablim1",4.59683360135375e-22,0.455661385698893,0.722,0.394,1.15136891213107e-17,"Ablim1","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Ildr2",5.17055350203421e-22,0.75248090261337,0.394,0.16,1.29506853565451e-17,"Ildr2","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Sept11",5.35207906592569e-22,0.565893157984534,0.532,0.248,1.34053524364241e-17,"Sept11","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"4930532I03Rik",7.48368048242754e-22,0.561278748254848,0.406,0.164,1.87443745043363e-17,"4930532I03Rik","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Mical3",9.24288007614783e-22,0.466788349333325,0.747,0.416,2.31506417267275e-17,"Mical3","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Arhgap20",9.36279024312545e-22,0.598416324732678,0.573,0.285,2.34509807219563e-17,"Arhgap20","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"C78859",9.89014331001506e-22,0.579114610850482,0.602,0.298,2.47718419485947e-17,"C78859","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Vwa5b2",1.16015850756928e-21,0.845753322411538,0.358,0.137,2.90584901390878e-17,"Vwa5b2","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"1500004A13Rik",1.35589577313774e-21,0.481584186895071,0.398,0.157,3.39611214297809e-17,"1500004A13Rik","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Prss12",1.79343840629924e-21,0.970063802354201,0.276,0.089,4.49202517625771e-17,"Prss12","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Sertad2",1.87203289866071e-21,0.818215103282907,0.346,0.131,4.68888080127547e-17,"Sertad2","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Gm49179",2.10721509990186e-21,0.598827768961368,0.5,0.228,5.2779416607242e-17,"Gm49179","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Aldoa",2.33318389285806e-21,-2.0241097037169,0.192,0.343,5.84392569644158e-17,"Aldoa","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Down"
"Srgap1",2.69964578590947e-21,0.395435996875995,0.83,0.494,6.76180279996745e-17,"Srgap1","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Cyth3",2.94212142168853e-21,0.461937540977842,0.548,0.262,7.36913152490327e-17,"Cyth3","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"5031425E22Rik",2.98820088460969e-21,0.428439258058766,0.562,0.262,7.4845467556819e-17,"5031425E22Rik","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Tubb3",3.1952434127258e-21,-1.27855921716672,0.576,0.595,8.0031261758543e-17,"Tubb3","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Down"
"Mtss1",4.1113622617857e-21,0.462433364732077,0.677,0.355,1.02977290570946e-16,"Mtss1","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Map3k13",4.8362163435742e-21,0.480711645341819,0.398,0.159,1.21132710757503e-16,"Map3k13","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Ptpn1",5.17806593862569e-21,0.493962534113049,0.419,0.173,1.29695017564758e-16,"Ptpn1","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Rap1gap2",7.222022843872e-21,0.60206148727114,0.449,0.196,1.80890006170462e-16,"Rap1gap2","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Tuba1b",7.53082013873502e-21,-1.68300579629552,0.26,0.404,1.88624452014896e-16,"Tuba1b","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Down"
