"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Gm42418",6.31129305841462e-51,-0.871377025788356,0.991,0.998,1.58078957234111e-46,"Gm42418","MGE","24hrvs1hr_PTZ","Down"
"Meg3",3.25670906583234e-39,0.500499456857996,1,0.998,8.15707919719026e-35,"Meg3","MGE","24hrvs1hr_PTZ","Up"
"Cwc22",3.16790693420277e-25,-1.38714949195766,0.601,0.84,7.93465649809768e-21,"Cwc22","MGE","24hrvs1hr_PTZ","Down"
"Cpt1c",1.80423779104833e-21,1.45336865331785,0.709,0.432,4.51907439523875e-17,"Cpt1c","MGE","24hrvs1hr_PTZ","Up"
"Prpf4b",6.11935598935392e-17,0.912498144507942,0.888,0.767,1.53271509465348e-12,"Prpf4b","MGE","24hrvs1hr_PTZ","Up"
"Gm49179",1.02684586441443e-16,1.6630459395134,0.511,0.242,2.57194083659882e-12,"Gm49179","MGE","24hrvs1hr_PTZ","Up"
"Las1l",1.67682228094292e-14,1.00816512920682,0.857,0.757,4.19993676707773e-10,"Las1l","MGE","24hrvs1hr_PTZ","Up"
"Snrnp70",1.06495381381461e-13,0.783410542460384,0.924,0.867,2.66738981746146e-09,"Snrnp70","MGE","24hrvs1hr_PTZ","Up"
"AY036118",1.29140162519906e-13,-0.652508774419633,0.794,0.912,3.23457365063608e-09,"AY036118","MGE","24hrvs1hr_PTZ","Down"
"B230209E15Rik",3.56731774322726e-13,-1.36499523570778,0.368,0.615,8.93506075146131e-09,"B230209E15Rik","MGE","24hrvs1hr_PTZ","Down"
"Tcf4",4.88173568134356e-13,0.327136576297576,1,0.998,1.22272833610612e-08,"Tcf4","MGE","24hrvs1hr_PTZ","Up"
"Atp1b1",7.86895312277402e-13,-0.678269651869647,0.843,0.937,1.97093668866121e-08,"Atp1b1","MGE","24hrvs1hr_PTZ","Down"
"Gphn",2.45736511008563e-12,-0.465734937677779,0.915,0.968,6.15496239123148e-08,"Gphn","MGE","24hrvs1hr_PTZ","Down"
"Gm16183",3.74502251555376e-12,1.37130552274454,0.493,0.26,9.3801578947075e-08,"Gm16183","MGE","24hrvs1hr_PTZ","Up"
"Pabpn1",8.94837145656003e-12,0.78213304267768,0.865,0.758,2.24129859872459e-07,"Pabpn1","MGE","24hrvs1hr_PTZ","Up"
"Taco1",9.84251358767743e-12,1.6058349280973,0.381,0.177,2.46525437830557e-07,"Taco1","MGE","24hrvs1hr_PTZ","Up"
"AC149090.1",1.60756131161929e-11,0.767069533611325,0.83,0.68,4.02645881721284e-07,"AC149090.1","MGE","24hrvs1hr_PTZ","Up"
"Hsp90aa1",4.29040653297128e-11,-0.87664657735444,0.444,0.675,1.07461812431332e-06,"Hsp90aa1","MGE","24hrvs1hr_PTZ","Down"
"Snhg11",9.53118795585674e-11,0.273761471689256,1,0.997,2.38727664730344e-06,"Snhg11","MGE","24hrvs1hr_PTZ","Up"
"Akt3",9.97359736401477e-11,-0.64101559633959,0.821,0.895,2.49808693176478e-06,"Akt3","MGE","24hrvs1hr_PTZ","Down"
"Rian",1.31113161722752e-10,0.311540861814432,1,0.99,3.28399136166977e-06,"Rian","MGE","24hrvs1hr_PTZ","Up"
"Oxr1",5.00947631262471e-10,-0.771997733216367,0.901,0.927,1.25472353202311e-05,"Oxr1","MGE","24hrvs1hr_PTZ","Down"
"Gad1",5.07657255317741e-10,-0.935865560721975,0.561,0.733,1.27152912739435e-05,"Gad1","MGE","24hrvs1hr_PTZ","Down"
"Rufy3",9.0469746161667e-10,0.646146382702797,0.78,0.682,2.26599573211127e-05,"Rufy3","MGE","24hrvs1hr_PTZ","Up"
"Dalrd3",9.05734708821857e-10,1.06593643622891,0.592,0.413,2.2685937251861e-05,"Dalrd3","MGE","24hrvs1hr_PTZ","Up"
"Snap25",1.04963099015638e-09,-0.623125917712313,0.834,0.927,2.62901074104468e-05,"Snap25","MGE","24hrvs1hr_PTZ","Down"
"Nbea",1.19452512313097e-09,-0.382421819080673,0.973,0.982,2.99192707590615e-05,"Nbea","MGE","24hrvs1hr_PTZ","Down"
"Cox7b",1.29280517344552e-09,1.02463971842951,0.587,0.425,3.23808911792898e-05,"Cox7b","MGE","24hrvs1hr_PTZ","Up"
"Itm2b",1.69949985331922e-09,-0.967868471194094,0.381,0.595,4.25673728260865e-05,"Itm2b","MGE","24hrvs1hr_PTZ","Down"
"Rims2",1.81578278652827e-09,-0.335885614491965,0.987,0.997,4.54799114541736e-05,"Rims2","MGE","24hrvs1hr_PTZ","Down"
"Mbd5",2.18588781566293e-09,-0.488661683122968,0.87,0.938,5.47499321189094e-05,"Mbd5","MGE","24hrvs1hr_PTZ","Down"
"Serinc1",2.6180942388249e-09,-0.865148360340396,0.417,0.643,6.55754063998473e-05,"Serinc1","MGE","24hrvs1hr_PTZ","Down"
"Cdc7",3.74376453938573e-09,1.62593978649909,0.305,0.137,9.37700704179945e-05,"Cdc7","MGE","24hrvs1hr_PTZ","Up"
"Zeb2",6.79805226336226e-09,0.392757792947344,0.991,0.942,0.000170270815040434,"Zeb2","MGE","24hrvs1hr_PTZ","Up"
"Nap1l5",7.72628238922509e-09,-1.69186658831041,0.152,0.35,0.000193520195002921,"Nap1l5","MGE","24hrvs1hr_PTZ","Down"
"Col11a1",1.35629188970225e-08,1.05272559669343,0.372,0.195,0.000339710429613723,"Col11a1","MGE","24hrvs1hr_PTZ","Up"
"Homer1",1.91862392695056e-08,-1.16953588748131,0.475,0.643,0.000480557734983308,"Homer1","MGE","24hrvs1hr_PTZ","Down"
"Stxbp5l",1.96146914225403e-08,-0.493964600802629,0.848,0.908,0.000491289176060367,"Stxbp5l","MGE","24hrvs1hr_PTZ","Down"
"Atp6v1a",2.9992468307144e-08,-1.0409027865262,0.309,0.512,0.000751221353689035,"Atp6v1a","MGE","24hrvs1hr_PTZ","Down"
"Leng9",4.36162065486166e-08,1.26830946459308,0.417,0.243,0.0010924551254232,"Leng9","MGE","24hrvs1hr_PTZ","Up"
"Ttc3",6.31398278421311e-08,-0.299822983375988,0.942,0.977,0.00158146326796186,"Ttc3","MGE","24hrvs1hr_PTZ","Down"
"Gpm6a",6.69407897503278e-08,-0.422988805797952,0.955,0.962,0.00167666596087646,"Gpm6a","MGE","24hrvs1hr_PTZ","Down"
"Alcam",6.9258285508267e-08,0.562271388392231,0.852,0.76,0.00173471227712556,"Alcam","MGE","24hrvs1hr_PTZ","Up"
"Ankrd13d",8.0926339337156e-08,1.03527381054806,0.507,0.343,0.00202696202137775,"Ankrd13d","MGE","24hrvs1hr_PTZ","Up"
"Xpo1",9.32183432733808e-08,-0.778293839686442,0.395,0.598,0.00233483984396837,"Xpo1","MGE","24hrvs1hr_PTZ","Down"
